"Timestamp","What is the first word that comes to your mind when you see this sign?","What is your gender? ","What do you identify your ethnicity as? ","How old are you?","What year are you in school?","What is your major or intended major?","What is your minor?","How would you rate your mental health? ","In relation to your peers, to what degree do you experience microaggressions?","In relation to your peers, to what degree do you experience microcompassions?","Do you browse the Facebook page ""UW Teens for Boundless Memes""? ","Have you seen the resilience signs, for example ones like these? ","Where did you first see the Resilience Lab posters? ","Did you go to the link on the sign? ","Did the signs change how you feel? ","If yes to the previous question, in what way?","How uplifted did you feel when viewing the signs?","How discouraged did you feel when viewing the signs? ","Do you think your behavior changed because of the signs? ","How did your behavior change because of the signs?","Have you talked to others about the signs?","If yes to the previous question, what did you say about them? ","How effective do you believe the signs are at introducing and promoting microcompassion on campus? "
"2018/05/11 8:02:31 PM MDT","Sarcastic ","Male","Asian;Caucasian","21","Third Year","Informatics","","2","1","2","Yes","Yes","On Campus","Yes","No","","2","1","No","","Yes","We talked about how they were kind of funny","3"
"2018/05/13 12:14:35 AM MDT","no","Female","Asian","21","Third Year","CSE","","3","2","1","Yes","Yes","On Campus","No","No","","1","1","No","","Yes","Memes make them look bad","1"
"2018/05/13 12:15:07 AM MDT","Fake","Female","Asian","21","Third Year","Business","","5","3","3","Yes","Yes","On Campus","No","Yes","Negative","1","4","No","Negative","Yes","Jokes","1"
"2018/05/13 12:15:46 AM MDT","true","Male","Asian","21","Third Year","Biochemsitry ","","4","3","4","Yes","Yes","On Campus","Yes","Yes","more confident ","3","1","No","","No","","4"
"2018/05/13 12:21:24 AM MDT","No","Female","Asian","21","Third Year","Philosophy","Informatics","2","3","3","Yes","Yes","On Campus","No","Yes","More depressed and cynical","1","4","Yes","Trying to focus less on my reactions and focus more on intentions","Yes","They seem to leave people more bitter than anything","2"
"2018/05/13 12:23:51 AM MDT","Bee","Female","Asian","20","Second Year","Economic","Nutrition","4","2","4","Yes","Yes","On Campus","No","Yes","They remind me to have a positive outlook on life","4","1","Yes","I was more optimistic","No","","5"
"2018/05/13 12:26:32 AM MDT","Productivity","Female","Asian;Caucasian","20","Second Year","Statistics, Economics","Mathematics","4","2","4","Yes","Yes","On Campus","No","No","","2","2","No","","Yes","(I don’t want to be rude at all I promise!) but the only time I have talked about the signs is about how they’re naive and unhelpful ","1"
"2018/05/13 12:36:42 AM MDT","Worth","Male","Asian;Caucasian","21","Third Year","Physics","","5","1","3","Yes","Yes","On Campus","No","No","","1","1","No","","No","","2"
"2018/05/13 12:36:47 AM MDT","business","Male","Asian","19","Second Year","Informatics","","2","5","1","Yes","Yes","On Campus","No","Yes","They made me feel empowered and happy about myself.","4","1","Yes","I became friendlier afterwards because I was in a better mood.","No","","4"
"2018/05/13 12:47:33 AM MDT","False","Male","Asian","19","Second Year","Civil Engineering","","3","1","5","Yes","Yes","On Campus","No","No","","2","4","No","","No","","2"
"2018/05/13 12:48:55 AM MDT","Busy","Male","Asian;Caucasian","19","Second Year","Chemical Engineering","Mathematics","4","3","3","No","Yes","On Campus","No","No","","3","2","No","","No","","4"
"2018/05/13 12:53:35 AM MDT","Inspiration","Female","Asian","21","Third Year","Medical Anthropology and Global Health","Chemistry/Microbiology possibly ","4","1","4","Yes","Yes","On Campus","No","No","","3","3","Unsure","","No","","2"
"2018/05/13 1:23:56 AM MDT","True","Male","Asian","20","Second Year","EDUCATION","","3","1","3","No","Yes","On Campus","No","No","","1","2","No","","No","","1"
"2018/05/13 1:45:24 AM MDT","busy","Female","Caucasian","22","Fourth Year","industrial design","","4","1","3","Yes","Yes","On Campus","No","No","","2","1","No","","No","","3"
"2018/05/13 1:54:55 AM MDT","Confused","Female","Asian","19","Second Year","Informatics","","4","3","3","Yes","Yes","Facebook Meme Page","No","No","","2","1","No","","No","","2"
"2018/05/13 1:57:10 AM MDT","grammar","Female","Asian","22","Graduate","Sociology","","4","4","5","No","Yes","On Campus","No","No","","4","1","Unsure","It didn't","No","","4"
"2018/05/13 2:24:15 AM MDT","Really?","Male","Asian","20","Third Year","Computer Science","","4","2","3","Yes","Yes","On Campus","No","No","","1","3","No","","No","","1"
"2018/05/13 8:03:32 AM MDT","Business","Male","Caucasian","30","Graduate","Economics","History","4","2","3","No","Yes","On Campus","No","Yes","A small positive boost","2","1","Unsure","I might of smiled and felt encouraged/inspired for a moment","No","","3"
"2018/05/13 9:05:43 AM MDT","Sure","Female","Asian","21","Third Year","Psychology","Informatics","5","2","4","Yes","Yes","On Campus","No","No","","3","3","No","","No","","3"
"2018/05/13 9:26:26 AM MDT","Thoughtful","Male","Caucasian","21","Third Year","Civil Engineering","","4","1","3","Yes","Yes","On Campus","No","Yes","","2","1","No","","No","","3"
"2018/05/13 10:15:24 AM MDT","wording?","Female","Asian","18","First Year","idk","","3","3","3","Yes","Yes","On Campus","No","No","","3","3","No","","No","","3"
"2018/05/13 12:44:03 PM MDT","Why","Male","Caucasian","22","Fourth Year","Electrical engineering","","5","3","3","Yes","Yes","Facebook Meme Page","No","No","","3","3","No","","Yes","I talked about the meems they created","2"
"2018/05/13 12:46:24 PM MDT","Meme","Male","Asian","21","Fourth Year","","Electrical engineering ","2","1","4","Yes","Yes","On Campus","No","No","","1","3","No","","Yes","Memes","1"
"2018/05/13 12:49:38 PM MDT","Thanks","","","","","","","4","1","4","No","Yes","On Campus","No","No","","2","1","No","","No","","3"
"2018/05/13 12:51:25 PM MDT","busyness","Female","Asian","22","Fourth Year","Electrical Engineering","","3","2","3","Yes","Yes","Facebook Meme Page","No","No","","1","1","No","","Yes","Look at this sign. ","1"
"2018/05/13 12:55:27 PM MDT","Confusion","Male","Caucasian","21","Fourth Year","Electrical engineering","","5","3","2","Yes","Yes","On Campus","No","Yes","Made me smile and laugh","4","1","Unsure","","Yes","If they had noticed the signs","3"
